method,ari_vs_phase,n_clusters
kmeans3,0.17664575388732154,3
kmeans5,0.09029894704839668,5
kmeans8,0.1816764639017895,8
gmm3,0.035938579738723796,3
ward3,0.0030925511916551525,3
dbscan,0.003462992971598289,2
