,mean_pn,median_pn,max_pn,top3_mean_pn,pca_pc1
mean_pn,1.0,0.7612116362864068,0.2413514572503406,0.4063005341207859,0.387259697518034
median_pn,0.7612116362864068,1.0,0.1564655754069355,0.30153278046660525,0.36583399335492983
max_pn,0.24135145725034063,0.1564655754069355,1.0,0.6291583951069055,0.2313773788565999
top3_mean_pn,0.4063005341207859,0.30153278046660525,0.6291583951069055,0.9999999999999999,0.3595219801984002
pca_pc1,0.387259697518034,0.3658339933549299,0.23137737885659987,0.3595219801984002,1.0
