category,n_features,mean,std,min,max,iqr
annotation_effort,2,0.5016835016835017,0.2658458030212126,0.1632996632996633,0.9722222222222222,0.563973063973064
scene_complexity,3,0.5016835016835017,0.08786049883175255,0.31200897867564537,0.6672278338945006,0.1548821548821549
occlusion,3,0.5016835016835017,0.273751950017857,0.0931537598204265,0.9943883277216611,0.494388327721661
depth_quality,4,0.5016835016835017,0.1988777883799964,0.02441077441077441,0.936026936026936,0.2971380471380471
photometric_conflict,2,0.5016835016835017,0.20889226071110292,0.04882154882154882,0.9713804713804713,0.303030303030303
temporal_stability,3,0.5016835016835017,0.2141124011664061,0.17676767676767677,0.9876543209876543,0.372615039281706
camera_motion,5,0.5016835016835017,0.24908962502647752,0.0047138047138047135,0.9885521885521886,0.3791245791245792
fisheye_stereo,5,0.5016835016835017,0.15130765846326583,0.13872053872053872,0.7925925925925925,0.1925925925925926
