annotation_effort,scene_complexity,occlusion,depth_quality,photometric_conflict,temporal_stability,camera_motion,fisheye_stereo
0.9722222222222222,0.46352413019079686,0.9685746352413019,0.29545454545454547,0.3181818181818182,0.712682379349046,0.7171717171717171,0.5925925925925926
0.8720538720538721,0.4051627384960719,0.7542087542087542,0.4057239057239057,0.3215488215488216,0.7626262626262627,0.5097643097643098,0.6282828282828283
0.8181818181818181,0.5718294051627385,0.5308641975308642,0.3341750841750842,0.1127946127946128,0.40965207631874295,0.8316498316498316,0.6249158249158249
0.7702020202020202,0.5718294051627385,0.7334455667789,0.6245791245791246,0.7205387205387206,0.48709315375982043,0.5723905723905723,0.2505050505050505
0.8569023569023569,0.425364758698092,0.6206509539842874,0.8232323232323233,0.7407407407407407,0.8557800224466892,0.14612794612794616,0.18047138047138045
0.1632996632996633,0.5718294051627385,0.20875420875420878,0.781986531986532,0.765993265993266,0.43490460157126826,0.6168350168350167,0.25925925925925924
0.4225589225589226,0.6672278338945006,0.9023569023569024,0.08333333333333333,0.12457912457912458,0.2789001122334456,0.9710437710437712,0.44579124579124574
0.6835016835016835,0.6604938271604939,0.797979797979798,0.25757575757575757,0.2996632996632997,0.7396184062850729,0.24107744107744108,0.5131313131313131
0.7382154882154882,0.6672278338945006,0.20089786756453423,0.335016835016835,0.2676767676767677,0.43097643097643096,0.6734006734006733,0.531986531986532
0.1632996632996633,0.5718294051627385,0.42873176206509545,0.2617845117845118,0.5185185185185186,0.2239057239057239,0.632996632996633,0.37912457912457914
0.1632996632996633,0.5718294051627385,0.3131313131313131,0.351010101010101,0.638047138047138,0.48821548821548816,0.34141414141414145,0.3784511784511785
0.1632996632996633,0.5718294051627385,0.18294051627384963,0.39983164983164987,0.3737373737373737,0.30583613916947244,0.6101010101010101,0.3420875420875421
0.946969696969697,0.44668911335578,0.8546576879910214,0.234006734006734,0.4175084175084175,0.4377104377104377,0.8430976430976431,0.4249158249158249
0.1632996632996633,0.5718294051627385,0.37710437710437716,0.25084175084175087,0.5168350168350169,0.23512906846240178,0.14276094276094278,0.3245791245791246
0.1632996632996633,0.5718294051627385,0.5016835016835017,0.2786195286195286,0.2946127946127946,0.20145903479236812,0.5959595959595959,0.3346801346801347
0.7744107744107744,0.5718294051627385,0.7345679012345679,0.18097643097643099,0.39057239057239057,0.212682379349046,0.48686868686868684,0.32525252525252524
0.6868686868686869,0.36419753086419754,0.29292929292929293,0.3392255892255892,0.5757575757575758,0.7525252525252525,0.2047138047138047,0.43569023569023574
0.1632996632996633,0.5718294051627385,0.2166105499438833,0.43686868686868685,0.5555555555555556,0.25645342312008973,0.6202020202020202,0.40538720538720535
0.7853535353535354,0.5718294051627385,0.8967452300785634,0.2601010101010101,0.4511784511784511,0.1992143658810325,0.8922558922558922,0.42289562289562294
0.6750841750841751,0.3782267115600449,0.6717171717171717,0.36952861952861954,0.5791245791245792,0.8316498316498316,0.042424242424242434,0.46060606060606063
0.1632996632996633,0.5718294051627385,0.4657687991021324,0.33585858585858586,0.44107744107744107,0.33052749719416386,0.8350168350168351,0.4067340067340067
0.1632996632996633,0.5718294051627385,0.47699214365881043,0.10101010101010101,0.06565656565656565,0.19809203142536477,0.4552188552188553,0.3353535353535354
0.1632996632996633,0.46632996632996626,0.5465768799102133,0.335016835016835,0.8181818181818181,0.6116722783389451,0.0653198653198653,0.44713804713804717
0.1632996632996633,0.5718294051627385,0.23232323232323235,0.3257575757575758,0.4629629629629629,0.2643097643097643,0.7535353535353536,0.42222222222222233
0.5867003367003367,0.5718294051627385,0.967452300785634,0.5303030303030303,0.6060606060606061,0.31930415263748596,0.6828282828282829,0.52996632996633
0.7676767676767677,0.3389450056116723,0.7693602693602694,0.6666666666666666,0.7474747474747474,0.8765432098765431,0.12323232323232322,0.5292929292929293
0.1632996632996633,0.5718294051627385,0.15488215488215487,0.75,0.6801346801346801,0.4079685746352413,0.591919191919192,0.5138047138047137
0.6599326599326599,0.34567901234567905,0.7839506172839507,0.5303030303030303,0.4713804713804714,0.8170594837261503,0.6101010101010101,0.4956228956228956
0.1632996632996633,0.5718294051627385,0.3265993265993266,0.7095959595959596,0.6531986531986531,0.2205387205387205,0.15690235690235693,0.5124579124579125
0.6936026936026936,0.36139169472502813,0.19977553310886645,0.8055555555555556,0.6346801346801347,0.7396184062850729,0.7043771043771044,0.5252525252525253
0.601010101010101,0.33782267115600445,0.8249158249158249,0.5774410774410774,0.7760942760942762,0.3282828282828283,0.6976430976430976,0.5333333333333333
0.7946127946127945,0.335016835016835,0.6352413019079686,0.7786195286195287,0.8316498316498316,0.8333333333333334,0.3488215488215488,0.5508417508417509
0.7853535353535354,0.3271604938271605,0.37485970819304154,0.8207070707070707,0.8013468013468014,0.8754208754208754,0.5811447811447812,0.5515151515151515
0.1632996632996633,0.5718294051627385,0.6318742985409652,0.5622895622895623,0.7037037037037037,0.36980920314253646,0.4545454545454545,0.494949494949495
0.835016835016835,0.41077441077441074,0.5476992143658811,0.7003367003367003,0.6481481481481481,0.7188552188552189,0.17777777777777776,0.5474747474747474
0.7601010101010102,0.5718294051627385,0.3198653198653199,0.7861952861952862,0.8771043771043772,0.4741863075196408,0.7454545454545455,0.5104377104377104
0.946969696969697,0.44668911335578,0.8030303030303031,0.23737373737373738,0.1851851851851852,0.5768799102132435,0.857912457912458,0.5932659932659933
0.9393939393939394,0.372053872053872,0.41077441077441074,0.5412457912457912,0.4595959595959596,0.8069584736251403,0.4835016835016835,0.6269360269360269
0.9377104377104377,0.44949494949494945,0.11447811447811447,0.3122895622895623,0.1127946127946128,0.7384960718294051,0.6538720538720539,0.6148148148148149
0.9713804713804715,0.5718294051627385,0.7637485970819303,0.4124579124579124,0.6801346801346801,0.49214365881032546,0.2861952861952862,0.5232323232323232
0.9696969696969697,0.4051627384960718,0.40965207631874295,0.6287878787878788,0.6599326599326599,0.8148148148148148,0.33131313131313134,0.5494949494949495
0.9427609427609428,0.38327721661054986,0.24130190796857462,0.7415824915824916,0.8417508417508417,0.8512906846240179,0.5784511784511784,0.5367003367003367
0.968013468013468,0.46632996632996626,0.8361391694725028,0.20202020202020202,0.09932659932659933,0.4579124579124579,0.40606060606060607,0.4134680134680135
0.718013468013468,0.4169472502805836,0.26599326599326595,0.2516835016835017,0.3501683501683502,0.5959595959595959,0.05387205387205387,0.5279461279461279
0.8501683501683501,0.5718294051627385,0.21885521885521886,0.2685185185185185,0.11111111111111112,0.19360269360269358,0.36430976430976425,0.4390572390572391
0.1632996632996633,0.5718294051627385,0.468013468013468,0.23737373737373738,0.1447811447811448,0.17676767676767677,0.35420875420875425,0.4121212121212121
0.1632996632996633,0.3810325476992144,0.2671156004489338,0.17760942760942763,0.2946127946127946,0.6083052749719416,0.15892255892255894,0.5218855218855218
0.1632996632996633,0.5718294051627385,0.09652076318742986,0.35353535353535354,0.09932659932659933,0.20370370370370372,0.3171717171717171,0.441077441077441
0.6548821548821548,0.48148148148148157,0.9214365881032548,0.2702020202020202,0.11616161616161616,0.5521885521885522,0.25656565656565655,0.42087542087542085
0.46632996632996637,0.40404040404040403,0.2839506172839506,0.28703703703703703,0.2895622895622896,0.48653198653198654,0.05521885521885522,0.5158249158249159
0.6422558922558923,0.44668911335578,0.3254769921436588,0.28703703703703703,0.09764309764309764,0.5061728395061729,0.2754208754208754,0.44511784511784513
