row,base_tier,n_runs,drop_frac,tier_flip_rate
0,hard,200,0.3333333333333333,0.065
1,hard,200,0.3333333333333333,0.275
2,hard,200,0.3333333333333333,0.44
3,hard,200,0.3333333333333333,0.415
4,medium,200,0.3333333333333333,0.365
5,medium,200,0.3333333333333333,0.375
6,medium,200,0.3333333333333333,0.395
7,medium,200,0.3333333333333333,0.335
8,medium,200,0.3333333333333333,0.275
9,easy,200,0.3333333333333333,0.055
10,easy,200,0.3333333333333333,0.0
11,easy,200,0.3333333333333333,0.01
12,hard,200,0.3333333333333333,0.34
13,easy,200,0.3333333333333333,0.0
14,easy,200,0.3333333333333333,0.005
15,easy,200,0.3333333333333333,0.18
16,easy,200,0.3333333333333333,0.15
17,easy,200,0.3333333333333333,0.14
18,hard,200,0.3333333333333333,0.41
19,easy,200,0.3333333333333333,0.415
20,medium,200,0.3333333333333333,0.425
21,easy,200,0.3333333333333333,0.0
22,easy,200,0.3333333333333333,0.075
23,easy,200,0.3333333333333333,0.175
24,hard,200,0.3333333333333333,0.08
25,hard,200,0.3333333333333333,0.435
26,medium,200,0.3333333333333333,0.215
27,hard,200,0.3333333333333333,0.17
28,easy,200,0.3333333333333333,0.05
29,hard,200,0.3333333333333333,0.095
30,hard,200,0.3333333333333333,0.17
31,hard,200,0.3333333333333333,0.045
32,hard,200,0.3333333333333333,0.02
33,medium,200,0.3333333333333333,0.245
34,medium,200,0.3333333333333333,0.46
35,hard,200,0.3333333333333333,0.0
36,hard,200,0.3333333333333333,0.18
37,hard,200,0.3333333333333333,0.31
38,medium,200,0.3333333333333333,0.38
39,medium,200,0.3333333333333333,0.435
40,hard,200,0.3333333333333333,0.345
41,hard,200,0.3333333333333333,0.02
42,easy,200,0.3333333333333333,0.455
43,easy,200,0.3333333333333333,0.01
44,easy,200,0.3333333333333333,0.0
45,easy,200,0.3333333333333333,0.0
46,easy,200,0.3333333333333333,0.0
47,easy,200,0.3333333333333333,0.0
48,easy,200,0.3333333333333333,0.31
49,easy,200,0.3333333333333333,0.0
50,easy,200,0.3333333333333333,0.0
51,easy,200,0.3333333333333333,0.035
52,easy,200,0.3333333333333333,0.0
53,easy,200,0.3333333333333333,0.005
54,easy,200,0.3333333333333333,0.54
55,easy,200,0.3333333333333333,0.105
56,easy,200,0.3333333333333333,0.005
57,hard,200,0.3333333333333333,0.145
