row,dominant_tier,stability,n_visited
269,easy,0.78125,800
270,hard,1.0,780
271,easy,1.0,809
272,medium,0.9250317662007624,787
273,easy,0.9241645244215938,778
274,easy,1.0,807
275,medium,1.0,799
276,medium,0.922882427307206,791
277,easy,1.0,791
278,medium,1.0,828
279,medium,1.0,790
280,easy,1.0,775
281,medium,0.986198243412798,797
282,hard,1.0,793
283,easy,1.0,806
284,medium,0.7940813810110974,811
285,medium,1.0,778
286,hard,1.0,797
287,medium,1.0,807
288,medium,1.0,809
289,medium,0.9987745098039216,816
290,medium,0.9720101781170484,786
291,medium,0.9711417816813049,797
292,easy,1.0,801
293,medium,1.0,785
294,medium,1.0,811
295,easy,1.0,780
296,easy,0.6971569839307787,809
