k,gap,sk,Wk,ref_log_mean
2,1.6034646865775475,0.016055050368201523,8.28881669808329,9.892281384660837
3,1.571832370900081,0.016254726021943527,8.116138943235697,9.687971314135778
4,1.659309573430729,0.027730369277871654,7.902552816240085,9.561862389670814
5,1.720209835340512,0.013143489538921253,7.727052759322394,9.447262594662906
6,1.7608604940474306,0.02979472134590778,7.592162732415367,9.353023226462797
7,1.8066060007871227,0.01778182288728799,7.489286522575978,9.2958925233631
8,1.8403830329196689,0.019530152072558368,7.391703804034992,9.232086836954661
9,1.858009010478547,0.021151627437739275,7.302669853445799,9.160678863924346
10,1.844754683809116,0.02488297066333208,7.2508396510743065,9.095594334883423
