k,kmeans_silhouette,gmm_silhouette,gmm_bic,gmm_aic,kmeans_inertia
2,0.29304663582081986,0.12004721733355733,5804.248852168949,5652.805834478038,3979.122903882754
3,0.2613506209453826,0.2378773551535779,5572.751201148405,5343.739808542638,3348.0686736292555
4,0.2619497503756199,0.11831301368305666,5499.9969287748,5193.417161254176,2704.1767908039774
5,0.2532021292171097,0.09084538198000011,5499.078597417748,5114.930454982267,2268.905326912203
6,0.25705490415147086,0.1617103105839926,5532.26040778092,5070.543890430583,1982.5967065404643
7,0.22633615949453378,0.11831095179640215,5541.651982057971,5002.367089792777,1788.7753855930166
8,0.2277258751372804,0.12668837105373779,5599.962002386743,4983.108735206692,1622.4681270416363
9,0.23861387021240543,0.14122008652016738,5668.558037674931,4974.136395580023,1484.257392021281
10,0.22669886221982719,0.08999811794148853,5687.729252182042,4915.739235172277,1409.2876614589438
