k,gmm_bic,gmm_aic
2,5804.248852168949,5652.805834478038
3,5572.751201148405,5343.739808542638
4,5499.9969287748,5193.417161254176
5,5499.078597417748,5114.930454982267
6,5532.26040778092,5070.543890430583
7,5541.651982057971,5002.367089792777
8,5599.962002386743,4983.108735206692
9,5668.558037674931,4974.136395580023
10,5687.729252182042,4915.739235172277
