model	split	source_file	metric_path	value	source_directory
cut3r	easy	result.json	compute_cost.system_card.driver_version		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	compute_cost.operating_point		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	n_pairs	6676	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	n_headline_intra_pairs	3376	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	metric_translation_available	True	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	aggregated.rotation_error_deg	0.9462237572131393	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	aggregated.rotation_error_deg_median	0.8455794039985873	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	aggregated.translation_error_m	0.02960747987657287	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	aggregated.translation_error_m_median	0.02500534389498408	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	aggregated.pose_error_max_deg	11.199468845333785	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	standard_auc.auc@5	0.1372881660203935	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	standard_auc.auc@10	0.3353185288908038	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	standard_auc.auc@20	0.5687742352434295	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	canonical.auc_5deg	0.1372881660203935	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	canonical.auc_10deg	0.3353185288908038	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	canonical.auc_20deg	0.5687742352434295	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	m_auc		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
