model	split	phase	source_directory	rotation_error_deg	translation_angular_deg	pose_error_max_deg	translation_error_m	translation_l2	auc_5deg	auc_10deg	auc_20deg	n_pairs
must3r	medium	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-must3r-5d2726b/must3r/medium	0.8256175960871397	10.311612235560803	10.320515105036778			0.1491293977340489	0.35314400715563504	0.5811687537268934	3354
pi3x	easy	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-pi3x-ae8a893/pi3x/easy	0.8006728251764883	7.95121484044132	7.963453221721497	0.040951774934268895	0.040951774934268895	0.17200417536534446	0.3975290784372204	0.6341977333730987	3353
pi3x	easy	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-pi3x-ae8a893/pi3x/easy	0.7522837631035602	6.95412253262215	6.964843245348032	0.02891759513945816	0.02891759513945816	0.22621275955461928	0.46792356304544097	0.6839557628648812	3323
pi3x	hard	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-pi3x-ae8a893/pi3x/hard	0.8096762787556806	8.528960706785897	8.541984417980903	0.06992803778794336	0.06992803778794336	0.19625541750939032	0.43256428777809874	0.6634729846865068	3461
pi3x	hard	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-pi3x-ae8a893/pi3x/hard	0.7547920753775513	5.908464523139269	5.920884007161545	0.03830120225684874	0.03830120225684874	0.2389365125804564	0.4959801053247513	0.7190710942071387	3418
pi3x	medium	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-pi3x-ae8a893/pi3x/medium	0.8355534415545253	7.912855390083989	7.92072559231762	0.052711881378638005	0.052711881378638005	0.17565903005058012	0.4033219279976197	0.63739809580482	3361
pi3x	medium	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-pi3x-ae8a893/pi3x/medium	0.7329469653203373	7.063912485000603	7.074743144572187	0.0346314807172923	0.0346314807172923	0.21828413834227786	0.46414281454979134	0.6845736434108527	3354
reloc3r	easy	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-reloc3r-ffbf0f4/reloc3r/easy	0.8226902867554357	7.105013902039483	7.118224177351953			0.20032806441992243	0.4400715776916194	0.6703892036981806	3353
reloc3r	easy	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-reloc3r-ffbf0f4/reloc3r/easy	0.7781454886077147	6.614015041188419	6.625597532164805			0.24461029190490519	0.4962263015347578	0.7062594041528738	3323
reloc3r	hard	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-reloc3r-ffbf0f4/reloc3r/hard	0.8289923596400627	8.197785913551776	8.212157313983504			0.2053770586535683	0.4510878358855822	0.6793065587980351	3461
reloc3r	hard	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-reloc3r-ffbf0f4/reloc3r/hard	0.799911382987147	5.765844412837627	5.782354264163674			0.2503525453481569	0.5073902867173786	0.7291486249268578	3418
reloc3r	medium	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-reloc3r-ffbf0f4/reloc3r/medium	0.8429849641686212	7.306543250308451	7.316338228062001			0.18715709610235046	0.43305415055043134	0.6655638202915798	3361
reloc3r	medium	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-reloc3r-ffbf0f4/reloc3r/medium	0.7826687469223108	7.094722936858194	7.10625050566374			0.22952146690518777	0.47968545020870607	0.6927057245080503	3354
vggt-omega	easy	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-c3cb08c/vggt-omega/easy	0.8086274384469336	8.249607232499603	8.25783390616722			0.17587980912615567	0.39719355800775413	0.6271354011333135	3353
vggt-omega	easy	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-c3cb08c/vggt-omega/easy	0.7514956426794338	6.813967030058019	6.826348034978725			0.2201068311766476	0.46392416491122457	0.6844372554920254	3323
vggt-omega	hard	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-vggt-c3cb08c/vggt-omega/hard	0.8100439406053946	9.231322175357784	9.24124607314995			0.17394105749783298	0.40817538283733024	0.6406356544351344	3461
vggt-omega	hard	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-vggt-c3cb08c/vggt-omega/hard	0.7504565811014313	6.0202842171279904	6.033189098990872			0.24010386190754823	0.4923434757167935	0.7163575190169691	3418
vggt-omega	medium	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-c3cb08c/vggt-omega/medium	0.8275860311796237	7.9690151430692415	7.977185015168453			0.17529753049687594	0.40683576316572445	0.6390493900624814	3361
vggt-omega	medium	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-c3cb08c/vggt-omega/medium	0.7419993661592973	7.459706554177313	7.46889275693875			0.21088849135360763	0.46145945140131184	0.6820125223613597	3354
