protocol	frame_budget	model	split	cells	unique_scenes	total_frames	total_scored_frames	hota_mean	hota_median	deta_mean	deta_median	assa_mean	assa_median	idf1_mean	idf1_median	mota_mean	mota_median	idsw_mean	idsw_median	idsw_total	latency_median_ms	latency_p95_ms	throughput_median_fps	peak_gpu_memory_allocated_mb_max	peak_gpu_memory_reserved_mb_max	parameter_count_max	total_wall_time_s
ego	250	cutie	hard	34	34	7878	7844	0.8967841216136335	0.920369444431842	0.8808123289358004	0.9153962985261602	0.9140979668868714	0.9254274373518716	0.9458784557777077	0.9623269240178091	0.8966725565959814	0.9250117302895227	1.588235294117647	0.0	54.0	25.135071948170662	26.400545821525156	39.79085857751778	830.05908203125	2300.0	35024186	755.800600937102
ego	250	cutie	medium	33	33	7691	7658	0.8985341089000567	0.9183776500158173	0.8926173424800732	0.9144409428747985	0.9072771183444589	0.927214598658705	0.9445982976554106	0.9599083619702177	0.9093500931876429	0.9234507897934386	1.5757575757575757	0.0	52.0	24.577460950240493	26.977388933300972	40.68768543766987	832.14306640625	2100.0	35024186	700.5813222592697
ego	250	dam4sam	easy	33	33	7552	7519	0.9432842218975287	0.9629147027377807	0.9363171712854054	0.9682897988195068	0.9507760306602465	0.9629698884562621	0.9656040444654744	0.984853367708669	0.9336322715165711	0.9724483406386976	2.757575757575758	0.0	91.0	486.9954171590507	531.3115677796304	2.053407413633636	3528.6494140625	3960.0	224446642	4092.032715873327
ego	250	dam4sam	hard	34	34	7878	7844	0.9435949101216075	0.9691153484307169	0.939445833787277	0.9692857725197566	0.9480503986643136	0.968366366769505	0.9677550172111968	0.9885731664928745	0.940464730107837	0.9766795296835584	2.588235294117647	0.0	88.0	425.93430064152926	502.8093051863834	2.3477826296860433	3528.29248046875	3956.0	224446642	3786.079806903377
ego	250	dam4sam	medium	33	33	7691	7658	0.938730843383345	0.974225124495625	0.9379673127380401	0.9735283469538011	0.9421321389224561	0.9748412881843486	0.9616121066278202	0.9861064046086072	0.938820557413951	0.9735234215885947	2.757575757575758	0.0	91.0	440.84906531497836	511.8329405784607	2.2683500514751436	3530.4296875	3990.0	224446642	3851.2815112476237
ego	250	edgetam	easy	33	33	7552	7519	0.9217227129556332	0.9452932932999382	0.914768517052645	0.9427539413751597	0.9290971533445794	0.9422458782644734	0.961406311198338	0.9772570640937285	0.9264114400902428	0.9579288025889967	2.0	0.0	66.0	35.12669401243329	41.17126129567623	28.468377913561817	1292.97314453125	1712.0	13895794	900.8280113954097
ego	250	edgetam	hard	34	34	7878	7844	0.8605388505565157	0.8931205824575326	0.8413369846286111	0.8834762758115181	0.8813267214729725	0.9039370198934751	0.914909738011997	0.944422952374657	0.8369183664762437	0.8910383128979342	1.8529411764705883	0.5	63.0	34.214643528684974	40.65261121140793	29.22771672546484	1294.09423828125	1712.0	13895794	833.8578987079673
ego	250	edgetam	medium	33	33	7691	7658	0.8700248152673073	0.8839744431916221	0.8603826533323771	0.8717289976138826	0.8822234699408852	0.8961281896885811	0.9253245814820403	0.9398572884811417	0.86815156811973	0.8864526233359437	1.6666666666666667	0.0	55.0	35.47124960459769	40.440688375383615	28.191845822944526	1288.20751953125	1712.0	13895794	847.2600142410956
ego	250	mits	easy	33	33	7552	7519	0.853584908358967	0.8661397425446197	0.8424724091537652	0.8511303360835413	0.865977583680539	0.8824607681015596	0.9156149098965438	0.9422744555824404	0.8395055909274809	0.9066059225512528	4.757575757575758	2.0	157.0	23.382403422147036	25.126604363322258	42.76720326588982	1965.55517578125	2548.0	32743472	763.442779046949
ego	250	mits	hard	34	34	7878	7844	0.7931684021440224	0.8298168038699867	0.7649121173704134	0.8126770984442064	0.8265338716893589	0.8522525438244186	0.8451235074906625	0.890508428086974	0.706143145008328	0.7790620094066951	3.5588235294117645	2.0	121.0	23.502565920352936	25.25694570504129	42.54854596643952	1966.99609375	2568.0	32743472	801.9022166212089
ego	250	mits	medium	33	33	7691	7658	0.8343172762141163	0.8655040657762749	0.818432068113788	0.8512621698011323	0.8547351743232173	0.8836239400160099	0.8966412712386104	0.9221668742216688	0.8124584814076723	0.85359477124183	2.878787878787879	2.0	95.0	23.0439780279994	25.040786946192384	43.395285257821286	1965.45849609375	2612.0	32743472	759.6111420001835
ego	250	sam2	easy	33	33	7552	7519	0.9185149144325624	0.9393280099416079	0.9052434538100008	0.9325231218499812	0.9324624176905354	0.9462606652239703	0.9501223726134301	0.9680310726023305	0.9064230857384381	0.9360812425328554	2.121212121212121	0.0	70.0	90.35285655409098	101.2576765846461	11.067718699091005	3189.009765625	3646.0	224430130	1349.886256495025
ego	250	sam2	hard	34	34	7878	7844	0.8955220467538287	0.9293541935486633	0.8751525176197273	0.9248639191981007	0.9176233551054518	0.9392567496433144	0.9329255421773072	0.962572265358628	0.8718547474567266	0.9268066512314064	2.0	0.0	68.0	85.5728320311755	90.66724930889904	11.686212579790984	3190.783203125	3640.0	224430130	1186.791055365
ego	250	sam2	medium	33	33	7691	7658	0.897308591466166	0.8898761354399783	0.8836117826559844	0.8863838836178438	0.9142121868805051	0.9349009414931935	0.9321196272007011	0.9361158432708688	0.8856137925812013	0.8796147672552167	1.878787878787879	0.0	62.0	87.41522999480367	93.0387610103935	11.439654166207013	3190.111328125	3640.0	224430130	1210.5274334847927
ego	250	sam2-plus	easy	33	33	7552	7519	0.8217451901498364	0.8725605673638465	0.7890235260607549	0.8492845009368343	0.8573107076298201	0.8974557856037976	0.8818870404250516	0.9234972677595629	0.799183324279852	0.8578680203045685	0.48484848484848486	0.0	16.0	109.5690350048244	112.95500644482672	9.126666123836623	2540.0810546875	2902.0	101205890	1741.4839643528685
ego	250	sam2-plus	hard	34	34	7878	7844	0.8010059412104125	0.7924200756037338	0.7580024544756815	0.7300669110767248	0.8485268575887642	0.8464690033527453	0.8606057820427512	0.8609840112254619	0.7624976327491679	0.7560729086030724	0.9117647058823529	0.0	31.0	97.70575352013111	115.09029255248606	10.236465903808718	2541.36181640625	2864.0	101205890	1763.2733806455508
ego	250	sam2-plus	medium	33	33	7691	7658	0.8179148797901542	0.8078535302381438	0.7851701169454541	0.7682449427044593	0.8556868718902476	0.8546754519049736	0.8767108632726075	0.8739047619047619	0.7935811077286483	0.776005547850208	0.8484848484848485	0.0	28.0	109.46731688454747	113.1503046490252	9.135146712828229	2541.36181640625	2880.0	101205890	1722.7426200546324
