method,n_clusters,silhouette,ari_vs_mean_pn
kmeans3,3,0.2613506209453826,0.07485630815949168
kmeans5,5,0.2532021292171097,0.07326834652337218
kmeans8,8,0.2277258751372804,0.12876742037937788
gmm3,3,0.2378773551535779,0.08608294099652533
ward3,3,0.37258070492873596,0.003677655156327524
dbscan,2,-0.2460693124162719,0.0
mean_pn,3,,1.0
median_pn,3,,0.5434923688891943
max_pn,3,,0.035314319585603854
top3_mean_pn,3,,0.13269713558313848
pca_pc1,3,,0.10835143158375482
